MIC,Company,Address,City,State
KYR,YOURaft,PO BOX 647,LAKESIDE,OR
KYS,KENTUCKIANA YACHT SERVICES LLC,700 E MARKET ST,JEFFERSONVILLE,IN
KYT,KYTE FGLS BOAT BLDG,TYLER RD BOX 32A,EWELL,MD
KYW,KEYWATER BOAT CO,6734 OTTAWA,CLEVELAND,OH
KYX,KYAKS LLC,674 Titan Rd SE,Palm Bay,FL
KYY,KALIK YACHTING INC,2 CATHERINE LN,MARBLEHEAD,MA
KYZ,STATE OF KENTUCKY,MIC FOR STATE ISSUED HINS,-,KY
KZE,MAYBERRY BOATWORKS (DBA),154 ROWE LANE,MOUNT AIRY,NC
KZL,WINDRIDER INTERNATIONAL LLC,5544 MALIBU DR,EDINA,MN
KZQ,MAUI CATAMARANS,PO BOX 790154,PAIA,HI
KZT,BARRAMUNDI BOATS INC,PO DRAWER 4259,HOMOSASSA TWN,FL
LAA,LATITUDE TOURNAMENT BOATS/ATTITUDE AIRBOATS,2725 LAFAYETTE ST,FORT MYERS,FL
LAB,LAWSON BOAT & MOTOR LLC,365 FLUVANNA AVE,JAMESTOWN,NY
LAC,LACROIX INDUSTRIES,8631 118TH SE,RENTON,WA
LAD,GLOBAL YACHT SALES INC,555 NORTHEAST 15 STREET,MIAMI,FL
LAE,SIERRA BOAT CO,BOX 1009,BUCYRUS,OH
LAF,LAFITTE SKIFFS & PIROGUES LLC,2380 Jean Lafitte Blvd.,Lafitte,LA
LAG,LAGER YACHTS INC,403 MAIN ST,PORT WASHINGTON,NY
LAH,L & H BOATS INC,3350 SE SLATER STREET,STUART,FL
LAI,SLAGHBAUGH BOAT COMPN,402 N MAIN ST,NAPPANEE,IN
LAJ,LAVRO INC,16311 177TH AVE SE,MONROE,WA
LAK,LAKE BONNEVILLE LAYOUT BOATS LLC,2657 W 5250 S,ROY,UT
LAL,FRASER INDUSTRIES,1 CLOUGH AVE,SUPERIOR,WI
LAM,AMT POWERBOATS INC,4468 MARY INGLES HIGHWAY,COLD SPRING,KY
LAN,ZEELANDER USA INC,801 SEABREEZE BLVD,FORT LAUDERDALE,FL
LAO,LAU FIBERGLASS CO,RT 1,REESVILLE,WI
LAP,"LAPHAM NAVIGATION, INC",PO BOX 963,BATH,ME
LAQ,LAMOR USA,2 ENTERPRISE DR SUITE 404,SHELTON,CT
LAR,---,---,---,FL
LAS,LEVIN ASSOCIATES,1455 E GOLF RD SUITE 200,DES PLAINES,IL
LAT,LATITUDE 40 WOODEN KAYAKS,650 PARKSIDE DR,SANTA ROSA,CA
LAU,ZUMA BOATS,707 COTTONWOOD BEND DRIVE,ALLEN,TX
LAV,L.A. ENTERPRISES,231 S.W. 21ST TERRACE,FORT LAUDERDALE,FL
LAW,LAMPREE ENTERPRISES,8 BENNETT WAY,NEWMARKET,NH
LAX,LASAL INDUSTRIES,370 W 700 S,SPRINGVILLE,UT
LAY,LAYOUT ADDICTIONS LLC,1212 STANS DR,STEVENS POINT,WI
LAZ,STATE OF LOUISIANA,MIC FOR STATE ISSUED HINS,--,LA
LBA,LIFELINE BOATS LLC,1768 BELMONT LOOP SW,ALBANY,OR
LBB,BRUNSWICK BOAT GROUP,PO BOX 248,NEW YORK MILLS,MN
LBC,LONG BAY CUSTOM BOATS POLAR PRODUCTS,4711 LONG BEACH RD,SOUTHPORT,NC
LBD,LANDAU BOAT CO,PO BOX 750 I 44 & LAWSON RD,LEBANON,MO
LBE,LUX BAY BOAT CO,6521 HARFORD RD,BALTIMORE,MD
LBF,LADY BUG BOATS,PO BOX 352,MANOMET,MA
LBG,LEYLAND & BIRMINGHAM CO,LEYLAND PRESTON,LANCASHIRE,
LBH,LARVY BOATS INC,1776 SUN RIDGE DR,APOPKA,FL
LBI,LEBLANC BOAT WORKS LLC,14116 LA HIGHWAY 331,ERATH,LA
LBJ,LUAU BOATS INC,1974 SW BILTMORE ST,PORT ST LUCIE,FL
LBK,LBI INC,973 NORTH RD,GROTON,CT
LBL,LEAR BAYLOR INC,"7215 GARDEN GROVE BLVD, B&C",GARDEN GROVE,CA
LBM,LAEGER BUILT LLC,1595 LAMPMAN RD,GOLD HILL,OR
LBN,LIBERTY YACHTS,837 W 13 ST,RIVIERA BEACH,FL
LBO,LANDAU BOATS INC,"2000 INDUSTRIAL DR, POB 750",LEBANON,MO
LBP,LES BATEAUX PAGO MAURI,250 INDUSTRIAL PARK,SHAWINIGAN S,QC
LBQ,LAWMAN BOAT COMPANY,PO BOX 3297,YUBA CITY,CA
LBR,L B BOAT REPAIR,7213 40TH ST,TAMPA,FL
LBS,LIBBY'S BOAT SHOP,PO BOX 154,BEALS,ME
LBT,LAGOON BOATS AND TRAILERS,PO BOX 310,PORT O'CONNOR,TX
LBU,LIL' BASSER,4505 PRICES CREEK RD,HUNTINGTON,WV
LBV,T. D. PENNY COMPANY,P O BOX 203,MARSHALLVILLE,GA
LBW,LIGHTING BOATWORKS,PO BOX 115,CHRISTMAS,FL
LBX,LARRY'S BOAT SALES INC,P O BOX 157,STANVILLE,KY
LBY,LANTANA BOATYARD INC (OOB,808 DIXIE HWY,LANTANA,FL
LBZ,LIMERICK BOATS INC,718 EAST FRONT ST,NEW BERN,NC
LCA,LOUISIANA CUSTOM ALUMINUM LLC,1512 Railroad Ave,Vinton,LA
LCB,LANIER CUSTOM BOATS LLC,408 SW 3RD STREET,DANIA BEACH,FL
LCC,LANGFORD CANOE CO,RR 1,BAYSVILLE,ON
LCD,LEISURE CRAFT MFG,6001 E HWY 98,PANAMA CITY,FL
LCE,LOBO CUSTOM BOATS,223 HIGHWAY 70 BETTIE,BEAUFORT,NC
LCF,LEGEND CRAFT BOATS LLC,2259 COW PATTY TRAIL,ALEXANDER,AR
LCG,LOTUS CANOES,7005 N 40TH ST,TAMPA,FL
LCH,ADOLPH LECOMTE COMPANY INC,101 HARBOR LN W,NEW ROCHELLE,NY
LCI,LOWCOUNTRY BOAT INC,3974 B PLUMBRANCH AVENUE,N. CHARLESTON,SC
LCJ,LAVEY CRAFT PERFORMANCE BOATS,210 BENJAMIN DRIVE,CORONA,CA
LCK,SNARK BOAT/DIVISION LOCKLEY,PO BOX 2360 901 INDUSTRIAL ST,NEW CASTLE,PA
LCL,LEFT COAST DEVELOPMENTE LLC,1012 9TH ST,ANACORTES,WA
LCM,LAKESCRAFT MARINE INC,PO BOX 382,YPSILANTI,MI
LCN,LORD'S CRAFT CUSTOM PONTOON BOATS,2669 RTE 30 N,BOMOSEEN,VT
LCO,ZAPF LEGACY CANOES LLC,6866 55TH AVE NE,SAUK RAPIDS,MN
LCP,LEISURE CRAFT INC,WEST 6323 WEBER POINT ROAD,SHAWANO,WI
LCQ,LEE CANOES,PO BOX 149,WINTHROP,ME
LCR,LEGEND CRAFT,3111 HWY 174,HOPE,AR
LCS,LEE'S CUSTOM BOATS,1664 H-5 COURT,DELTA,CO
LCT,LES CANOTS TREMBLAY,40 RUE ST PAUL,ST FELICIEN,QC
LCU,LYNCH'S CUSTOM CAL BOAT DSGNS,1102 BITTERSWEET ROAD,LAKE OZARK,MO
LCV,LUDWIG COMPANY,311 SHEPPARD DR,OCEAN SPRINGS,MS
LCW,LEWIS & CLARK WHITEWATER,7671 MONTANA HWY 200 B,PLAINS,MT
LCX,SMALL CRAFT INC,PO BOX 203,ESSEX,CT
LCY,LEGEND CUSTOM YACHTS,1400 SIESTA DRIVE,SARASOTA,FL
LCZ,"LINE CUTTERZ, LLC",110 S 17TH ST,WEST COLUMBIA,TX
LDA,L DUNN-RAY FISHING,RT 2 BOX 144,OKOLONA,MS
LDB,LANDFALL BOAT WORKS (DBA),2265 SW 33RD TERR,FORT LAUDERDALE,FL
LDC,LA DENE COE BOAT CO,RT 4 BOX 153,GRANBURY,TX
LDD,CLIFFORD BOATWORKS LP,9312 FOX BRIAR LANE,BOERNE,TX
LDE,"CORDOVA OUTBOARD, INC.",PO BOX 960,CORDOVA,AK
LDF,LEDFORD ENGINEERING,PO BOX 1088,HAWTHORNE,FL
LDG,LEADER DRUG,152 PINE AVE,LONG BEACH,CA
LDH,ELECTRA CRAFT,2251 TOWNSGATE ROAD,WESTLAKE VILLAGE,CA
LDI,ANGLERS CRAFT BOAT BUILDERS,408 PRINCE STREET,ALEXANDRIA,VA
LDJ,THE LANDING MARINE SERVICE,RT 2 BOX 120,TEN MILE,TN
LDK,LAKESHORE MARINE DSN,PO BOX 82,LAKESHORE,MS
LDL,LOLA DORY LTD,3607 AVON ST,PANAMA CITY,FL
LDM,LAZY DAY CRUISERS,6000 HOLIDAY RD,BUFORD,GA
LDN,LEISUREDYNE INC,166 RIDGEDALE AVE,MORRISTOWN,NJ
LDO,LITTLE ROCK AUTO BODY,1416 HARLEES BRIDGE ROAD,LITTLE ROCK,SC
LDP,OLD PORT BOATS,BOX 631,BEAUFORT,NC
LDQ,LAWSON DESIGN CORP,PO BOX 3365,ANNAPOLIS,MD
LDR,LEADER BOAT CO INC,900 NORTH LUCAS STREET,WEST COLUMBIA,SC
LDS,LANCE D STACE,C/O USCG BASE,KETCHIKAN,AK
LDT,MYRIAH ENTERPRISES INC,PO BOX 472,LOGAN,NM
LDU,LADD MARINE,PO BOX 247 SUMNOR RD,DOVER,FL
LDV,DICK FREYES CANOE LVRY,RD 2,LOUDONVILLE,OH
LDW,LITTLE BOATWORKS DBA,25 KAREN ST,PORTSMOUTH,RI
LDX,LIDO SHIPYARD,PO BOX 2177,NEWPORT BEACH,CA
LDY,LIDO YACHTS,108 VIA CORDOVA,NEWPORT BEACH,CA
LDZ,LADD AND STOREY,1011 DULANEY LANE,ANNAPOLIS,MD
LEA,L E LUNDQUIST & CO,RT2 BOX 60DD,NINETY SIX,SC
LEB,LEHMAN BOATS INC,8458 SE MERRITT WAY,JUPITER,FL
LEC,"LECLAIR BOATS, INC",9670 ROUTE 6N EAST,ALBION,PA
LED,LEGEND MFG,600 SE MARITIME AVE #340,VANCOUVER,WA
LEE,RAVE SPORTS,"3065 SPRUCE STREET, SUITE 101",ST. PAUL,MN
LEF,LEE'S FORD DOCK,451 LEE'S FORD DOCK DR,NANCY,KY
LEG,LEGACY AIRBOATS,84275 564 Ave,Stanton,NE
LEH,LEHMKUHLE BOATWORKS LLC,4867 Martinsburg Road,Newark,OH
LEI,LEISURE TIME CRUISERS,4400 RUSSELL DYCHE HWY,SOMERVILLE,KY
LEJ,"LEE BOATS, INC",5560 HWY 29 N,MOLINO,FL
LEK,TABLE 26 BOATS LLC,26928 DEACON LOOP,WESLEY CHAPEL,FL
LEL,CAJUN SPECIAL BOATS,947 FLORIDA BLVD. WEST,DENHAM SPRING,LA
LEM,LEMA BOAT CORP,281 FRANKLIN STREET,BRISTOL,RI
LEN,Lenilan Marine LLC,1009 NE 104 St,Miami Shores,FL
LEO,WEST SEATTLE LIONS CLB,3258 56TH AVE SW,SEATTLE,WA
LEP,LEGACY PONTOONS,5855 S 1000 E,HUDSON,IN
LEQ,BLACKWATER BOATS,"RTE 2, BOX 206",LENOX,GA
LER,LEES WORK SHOP,1800 HILLTOP AVE,BALTIMORE,MD
LES,SEA EAGLE USA,19 NORTH COLUMBIA STREET,PORT JEFFERSON,NY
LET,"BILL LEE YACHTS,INC",3700 B HILLTOP ROAD,SOQUEL,CA
LEU,MCKINNA CORPORATION OF FL,2525 MARINA BAY DRIVE WEST,FORT LAUDERDALE,FL
LEV,LEE BOAT MFG CO OOB 8/80,1617 MAIN AVENUE,FARGO,ND
LEW,ZENA USA,PO BOX 66794,ST. PETE BEACH,FL
LEX,ML-LIFEGUARD EQUIPMENT LTD,10627 JONES ST SUITE 101B,FAIRFAX,VA
LEY,LEGACY GROUP,8666 NW 58TH ST,MIAMI,FL
LEZ,LEE-ZURE LINE,6040 ALLAN CIRCLE,NEW HOPE,MN
LFA,LILES FIBERGLASS WORKS,1685 DORCHEAT ROAD,MINDEN,LA
LFB,LINTON FABRICATION LLC,13197 LINTON ROAD,SPARTA,GA
LFC,LIFECRAFT CORP,2415 W GARFIELD,MILWAUKEE,WI
LFD,LONG COVE MARINA,22589 HUDSON RD,ROCK HALL,MD
LFE,SANCTUARY PRODUCTS LLC,P.O. BOX 2897,ELKHART,IN
LFF,STOKES CORP,106 BRODHEAD STREET,MAZOMANIE,WI
LFG,Lagoon Skiffs LLC,3333 Edgehillter,Port Charlotte,FL
LFH,HYDROLIFT,12320 MULBERY CT,WOODBRIDGE,VA
LFI,LATIMORE'S FGLS BOATWK,RT 33,SALUDA,VA
LFJ,LEMURIA BOAT WORKS,7009 EARL NW,SEATTLE,WA
LFK,LEASURE FABRICATORS IN,92 NARRAGANSETT AVE,PROVIDENCE,RI
LFL,LONGFISH LEISURE US INC,251 Little Falls Drive,Wilmington,DE
LFM,LOCKLEY MANUFACTURING,6206 MERRILL ROAD,LUCEDALE,MS
LFN,MERRIL FIBERGLASS & BOAT REP,RT 9 BOX 624,LUCEDALE,MS
LFO,LONGFIELD DORY CO,GENERAL DELIVERY,EAST BLUE HILL,ME
LFP,LAKE-FLITE PLASTICS,2310 SYCAMORE DR,KNOXVILLE,TN
LFQ,RUSSELL'S LANDING ENTERPRISES,3025 DEL RIO,ROSEBURG,OR
LFR,LAKE FOREST MARINE,22600 F LAMBERT 1202,EL TORO,CA
LFS,LFS MARINE & OUTDOOR,851 COHO WAY,BELLINGHAM,WA
LFT,"LIFTS & DOCKS, LLC",8090 HWY 17,Eagle River,WI
LFU,LENAPE FIBERGLASS CO,EAST END AVE,LEVITTOWN,PA
LFV,LEFEVRE BOATS,652 HIGH HILL ROAD,N DARTMOUTH,MA
LFW,LEWMAR FIBERGLASS SERV,2499 LINCOLN RD,HATTIESBURG,MS
LFX,LEON F.IRISH CO.,4300 HAGGERTY,WALLED LAKE,MI
LFY,FEM BOAT INDUSTRIES,ESTATE OF FRIDENHOJ,ST THOMAS,VI
LFZ,L & C FABRICATION,P.O. BOX 846,DES ALLEMANDS,LA
LGA,LEGACY YACHT CLUB CORP,4024 5th St,Garden City,GA
LGB,LIBERTY GUIDE BOATS INC,4249 WESTROADS DR,WEST PALM BEACH,FL
LGC,LEGACY ENTERPRISES,PO BOX 1980,WHITEFISH,MT
LGD,LUNENBURG DORY,3272 SARMEINTO DRIVE,BEN SALEM,PA
LGE,LONGTON ENTERPRISES,240 BLANDS LANE,ROSEBURG,OR
LGF,LANGE FIBERGLASS,BX 311 214 2ND AV NE,PIPESTONE,MN
LGG,LOUIS GIGUERE,821 SAWYER LN,KEYWEST,FL
LGH,LIGHTNIN FIBERGLASS,PO BOX 268,KILAUEA,HI
LGI,SYSTEMS RESEARCH DEVEL,1151 AQUIDNECK AVE #543,MIDDLETOWN,RI
LGJ,LEGEND MARINE INC,569 CENTRAL DRIVE SUITE 103,VIRGINIA BEACH,VA
LGK,LEGEND CRAFT INC,2259 COW PATTIE TRAIL,ALEXANDER,AR
LGL,LITTLE GLASSES RESORT & MARIN,RR3 BOX 108,MADILL,OK
LGM,LOWE & GILLIS MARKETNG,21 S DAVIES RD,LAKE STEVENS,WA
LGN,LIGHTNING CUSTOM BOATS,16108 EAST 17TH STREET,INDEPENDENCE,MO
LGO,LEGEND MFG CORP,"RT 6, BOX 774",OKEECHOBEE,FL
LGP,LAKE-GLIDE,"LOT 49, STANCI'S TRAILER PARK",GREENVILLE,NC
LGQ,LOGO CRAFT,11530 COZUMEL ST,CYPRESS,CA
LGR,-,-,-,GA
LGS,LANGASS LLC,2521 E Mountain Village Dr. U,Wasilla,AK
LGT,UP-STAT MANUFACTURING COMPANY,PO BOX 531,SANTA ROSA,CA
LGU,LEGACY GROUP USA CORPORATION,8450 NW 64TH ST SUITE 2,MIAMI,FL
LGV,LAKEVIEW YACHTS INC,"ROUTE 7, BOX 1420, E HWY 90",MONTICELLO,KY
LGW,LOS GATOS BOAT WORKS,135 LA CIENEGA COURT,LOS GATOS,CA
LGX,LOGAN BOATS INC,401 CAPITOL CT,OCOEE,FL
LGY,"FORBES CUSTOM BOATS, INC",PO BOX 331,WANCHESE,NC
LHA,LITTLE HARBOR YACHTS,ONE LITTLE HARBOR LANDING,PORTSMOUTH,RI
LHB,HINCKLEY YACHTS,ONE LITTLE HARBOR LANDING,PORTSMOUTH,RI
LHC,LONE STAR HOVERCRAFT,1606 CALVERYMAN LN,KATY,TX
LHD,LITTLE HOQUIAM SHIPYARD,825 QUEEN AVE,HOQUIAM,WA
LHE,ATLANTIC MARINE PLASTICS,664 INGLESIDE ROAD,NORFOLK,VA
LHF,LIBRA FIBERGLASS PRODUCTIONS,ROUTE 1 BOX 522 B,ST MATTHEWS,SC
LHG,LIGHTNIN FIBERGLASS,P O BOX 268,KILAUEA,HI
LHH,LOOP INDUSTRIES INC,PO BOX 1411,CRYSTAL BEACH,TX
LHI,L A HALL,8420 317 PLACE NW,STANWOOD,WA
LHJ,LIGHTHOUSE BOAT WORKS,3732 UTICA PIKE,JEFFERSONVILE,IN
LHK,MAGIC BOATS INC (SEE MGE),PO BOX 2880,LAKE HAVASU CTY,AZ
LHL,HUNT-LEE YACHT LTD,2715 W COAST HWY,NEWPORT BEACH,CA
LHM,LONG HAUL FOLDING KAYAKS (DBA,16869 WARD CREEK ROAD,CEDAREDGE,CO
LHN,LITTLE HARBOR MARINE,ONE LITTLE HARBOR LANDING,PORTSMOUTH,RI
LHO,SWEDE MARINE & ASSOC.,7510 WINKLE WOOD LN,HOUSTON,TX
LHP,LEE HIGH PERFORMANCE BOATS & MARINE LLP,7616 BROWNS RD,MOSS POINT,MS
LHQ,LIGHTHOUSE MARINE SERVICES,347 MOUNT PARNASSUS RD,EAST HADDAM,CT
LHR,LUHRS,301 RIVERSIDE DRIVE,MILLVILLE,NJ
LHS,LEGEND HI PERFORMANCE,2950 NE 188 ST,N. MIAMI BEACH,FL
LHT,AMERICAN BOAT CORP,303 VALLEY AVE,ALMA,MI
LHU,LUHRS MAINSHIP,255 DIESEL RD,ST AUGUSTINE,FL
LHV,LAVOIE BOAT WORKS,24925 SR 46,SORRENTO,FL
LHW,LAHAINA WHALERS,1237 MANU ALOHA ST,KAILUA,HI
LHX,LOCUST HILL CORP,PO BOX 603,WINCHESTER,VA
LHY,LOHI OY,POBOX 995,CLEARWATER,FL
LIA,LOW TIDE INTERNATIONAL,608 N. 18TH AVE,MCALLEN,TX
LIB,LIBERTY OUTDOORS,110 42ND AVE N,ST PETERSBURG,FL
LIC,LAMINEX INDUSTRIES OF,6671 GUNN DRIVE,OAKLAND,CA
LID,LONG IS.DINGHIES & DORIES,127 SERPENTINE LANE,CENTRAL ISLIP,NY
LIE,B BOATS INC,505 VAN NESS AVENUE,TORRANCE,CA
LIF,LECLERCQ MAR CONST INC,1080 WEST EWING ST,SEATTLE,WA
LIG,LIGHTNING LINE,3038 DUNDEE LANE,MOUND,MN
LIH,LOWTIDE INTERNATIONAL INC,PO BOX 572,MCALLEN,TX
LII,LASER INDUSTRIES INC,748 HOLLY LANE,FT LAUDERDALE,FL
LIK,LAKESIDE INDUSTRIES,86500 TAPPAN HIGHLAND RD,URICHSVILLE,OH
LIL,BLACK HILLS PONTOON BO,2412 N 2ND ST,SPEARFISH,SD
LIM,LINCOLN FIBERGLASS,2560 SE 23RD,LINCOLN CITY,OR
LIN,LINDAHL COMPOSITE DESIGN,6002 CEDAR STREET,FENVILLE,MI
LIO,LITE CART CORP,"1950 LAKE AVE., S.E.",LARGO,FL
LIP,"GOLDEN MARINE SERVICE, LLC",1101 Mandarin Isle,Fort Lauderdale,FL
LIR,ALERICS MARINE CORP,52 BRUEN STREET,NEWARK,NJ
LIS,LIFELINE INFLATABLE SERVICES INC,1590 NW 159TH ST,MIAMI,FL
LIT,LITTLE BOAT CO,PO BOX 478 111 OLMSTEAD,N SNOQUALMIE,WA
LIW,SUGAR SAND MARINE,1617 MAIN AVENUE,FARGO,ND
LIX,LINDSEYS BOAT WORKS,21341 SOUTH FERGUSON ROAD,OREGON CITY,OR
LIY,LIND ART & TECHNOLOGY INC.,"447 Sutter Street, Ste 405",San Francisco,CA
LJA,LEWIS BROTHER BOATWORKS,169 Diamond City Dr.,HARKERS ISLAND,NC
LJB,LIMITLESS JET BOATS,PO Box 1029,Delta Junction,AK
LJC,STEALTH BOAT CORP,808 EAST 66 STREET,INDIANAPOLIS,IN
LJD,FIBER-WORKS,10-B OAK CIRCLE,SARGENT,TX
LJE,LEGEND BOATS LTD,117 DILLARD DR,MIDWAY,AR
LJF,DORADO HOLDINGS LLC,PO BOX 427,OZONA,FL
LJG,DRAGONFLY INNOVATION CORP,7159 TAGGART PLACE,RANCHO CUCAMONGA,CA
LJH,RIVER COWBOY,5599 ELLEN STREET,RIVERSIDE,CA
LJI,LAST CHANCE INC,2109 EAST MAIN,ALBERT LEA,MN
LJJ,ESPRIT NAUTICS LLC,1301 EAST SUNRISE BLVD,FORT LAUDERDALE,FL
LJK,AUTOFLOAT INC,7 SUMMIT DRIVE,MCKEES ROCK,PA
LJL,SAVANNAH YACHTS LLC,280 INDUSTRIAL BLVD,RINCON,GA
LJM,LIHN JOHN'S MARINE,5233 STERLINGTON RD,MONROE,LA
LJN,LYNN A MILLER,11088 N PHILLIPS RD,BLUFFTON,OH
LJO,LOON FIBERGLASS,25830 NUBOUR ST,DOWAGIAC,MI
LJP,SONIC JET PERFORMANCE INC,15662 COMMERCE LANE,HUNTINGTON BEACH,CA
LJQ,CANADIAN-AMERICAN HSBT,206 E GARFIELS AVE,WARROAD,MN
LJR,L. J. RONNING BOATWORKS,243 RIVERVIEW,TWO HARBORS,MN
LJS,"JONES, LARRY (N Y )",RD 2,CONKLIN,NY
LJT,GILLAN BOATS LLC,PO BOX 355,ALTON BAY,NH
LJU,BASSETT CUSTOM BOATWORKS,244 BOULDER ROAD,BARNSTABLE,MA
LJV,PACIFIC MARINE ENTERPRISES,1220 WESTLAKE AVENUE NORTH,SEATTLE,WA
LJW,HIDEAWAY YACHT COLLECTION LLC,599 SOUTH FEDERAL HIGHWAY,POMPANO BEACH,FL
LJX,"JONES, LARRY",RD #2,CONKLIN,NY
LJY,STILLWATER BOATS,16700 NORWOOD ROAD,SANDY SPRING,MD
LJZ,BAYSIDE MARINE SERVICES LLC,4597 15TH ST EAST,Bradenton,FL
LKA,QUALITY FIBERGLASS,"RT 1, BOX 3278",LAKE CHARLES,LA
LKB,LA JOLLA INDUSTRIES,15735 CHEMICAL LANE,HUNTINGTN BCH,CA
LKC,LIGHTNING KAYAKS,1423 W RIVER RD,MINNEAPOLIS,MN
LKD,GEORGIA LOCKHEED EMPY,86 S COBB DR,MARIETTA,GA
LKE,LAKELAND BOATWORKS,985 GRAND RAPIDS STREET,MIDDLEVILLE,MI
LKF,PUL-TOY MANUFACTURING,16304 84TH AVEUE NE,KENMORE,WA
LKG,LAKE MASTER,RR 1 BOX 150,CHELSEA,OK
LKH,LAKEHOUSE BY TENN FORMS,"BOX 11646,6200 BAUM",KNOXVILLE,TN
LKI,LEMPKE,"ROUTE 1, BOX 108",TRAPPE,MD
LKJ,JAY-CO MARINE SERVICES LLC,6760 CEMETERY HIGHWAY,SAINT MARTINVILLE,LA
LKK,LAKE ASSAULT CUSTOM BOATS,9954 HWY 10,ELK RIVER,MN
LKL,LAKELAND MFG CO INC,PO BOX 223,MANCHESTER,MI
LKM,SLOCUMB MARINE INC.,3674 RIVERLAND RD,FT LAUDERDALE,FL
LKN,LAKELINER INC,220 E 3900 SO,SALT LAKE CTY,UT
LKO,SPORTING AFFAIRS INC,"41-865 BOARDWALK, SUITE 112",PALM DESERT,CA
LKP,CAROL BRYANT ONE DESIGN YACHT,20280 CORKSCREW ROAD,ESTERO,FL
LKQ,B.S.H. WATERCRAFT,4855 SOUTH STATE ROAD 446,BLOOMINGTON,IN
LKR,MILLER MANUFACTURING,RT 2 BOX 165A-2,KILGORE,TX
LKS,LANDING SCHOOL OF BOAT BUILDING,286 RIVER ROAD,ARUNDEL,ME
LKT,LEECRAFT WELDING,3872 HALIBUT POINT ROAD,SITKA,AK
LKU,LAKENES BOATS,110 CARL JOHNSON RD.,QUILCENE,WA
LKV,MAMBA MARINE INC,6570 18TH ST EAST,SARASOTA,FL
LKW,LAKE FLOWER BOAT WORKS LLC,PO BOX 265,RAY BROOK,NY
LKX,ALIZADEH ENTERPRISES INC,41610 DATE STREET #105,MURRIETA,CA
LKY,GO LUCKY BOATS INC,1248 26TH PLACE,SAN PEDRO,CA
LLA,LIL BARRER,4708 GREEN VALLEY RD,HUNTINGTON,WV
LLB,TRINITY PRDUCTS TWO,N 13853 COUNTY RD O,WITHEE,WI
LLC,LAKE & LAND HWY CRS CO,14022 EMORY DRIVE,WHITTIER,CA
LLE,LIVESAY MARINE,1250 PIONEER WAY A & B,EL CAJON,CA
LLF,L&L FIBERGLASS PRODUCTS,RT #1 BOX 294,KNOXVILLE,AR
LLH,LLOYDS SHIPS HOLDINGS,1600 SE 17TH ST,FT LAUDERDALE,FL
LLI,L L BEAN,ST LASCO ST,FREEPORT,ME
LLK,LANDMAN GUN LAKE BOAT CTR INC,3915 PATTERSON RD,SHELBYVILLE,MI
LLL,LISIANSKI MARINA,P O BOX 764,PELICAN,AK
LLM,ALL MARINE CONSTRUCTION INC,PO BOX 280,FLAGLER BEACH,FL
LLN,LINK-LEISURE INC,158 KRAUSE RD BOX428,EDWARDSBURG,MI
LLO,"LAMAR LONG, INC",6141 CHESTER AVE,JACKSONVILLE,FL
LLP,LITTLE BAY MARINE INC,P.O. BOX 564,ROCKPORT,TX
LLR,BANDIT WATERCRAFTS,PO BOX 281,WEDGEFIELD,SC
LLS,Limitless Seas Inc.,"2300 East Las Olas Boulevard,",Ft. Lauderdale,FL
LLT,LEISURE LIFE LTD,4855 BROADMOOR AVE SE,GRAND RAPIDS,MI
LLU,LATIMARINE,1028 CRACE SHORES,AFTON,OK
LLW,LOCHLOSSA BOAT WORKS,PO BOX 24,LOCHLOSSA,FL
LLX,LANDLUFT CORP,PO BOX 144,MARTINSVILLE,NJ
LLY,L & L YACHTS,816 W 16TH STREET,COSTA MESA,CA
LMA,CADDO BOAT MFG CO INC,PO BOX 930,LINDEN,TX
LMB,EL MORO BOAT WKS INC,353 QUINTANA RD,MORO BAY,CA
LMC,LIBERTY MOUNTAIN SPORTS,9816 S JORDAN GATEWAY,SANDY,UT
LMD,BOYD'S CUSTOM FABRICATION,26611 WOODLAND WAY SOUTH,KENT,WA
LME,LAZZARA MARINE ENTERPRISES,5250 WEST TYSON AVE,TAMPA,FL
LMF,LAKES MFG INC,PO BOX 382,YPSILANTI,MI
LMG,LAWSON MARINE,1315 SLATERS CREEK RD,GOODLETSVILLE,TN
LMH,ARCTICA KAYAKS CO OF N AMERCA,1916 N MACDONALD STREET,MESA,AZ
LMI,"LATITUDE MARINE SERVICES, LLC",PO BOX 940,LA CONNER,WA
LMJ,ANCHOR MARINE INC,10967 N BAYSHORE DR,SISTER BAY,WI
LMK,LOREQUIN MARINE INC,2601 NW 16TH ST RD,MIAMI,FL
LML,LEXINGTON MARINE GROUP LLC,9101-4 LACKLEY RD NE,LELAND,NC
LMM,LEGACY MASTER MARINE LLC,8500 DALLAS AVE SOUTH,SEATTLE,WA
LMN,MARTIN MARINE,44991 CORTA CHRISTINA,TEMECULA,CA
LMO,LANDERS MARINE AND OUTDOORS,424 EAST BUSINESS 83,WESLACO,TX
LMP,LIGHTHOUSE ARCHAEOLOGICAL MARITIME PROGRAM,81 LIGHTHOUSE AVE.,ST. AUGUSTINE,FL
LMQ,LOTT MANUFACTURING CO,1815 S. PETERSON AVENUE,DOUGLAS,GA
LMR,LOWELLS BOAT SHOP INC,459 MAIN STREET,AMESBURY,MA
LMS,"LEOPARD MARINE SYSTEMS, INC.",7381 114TH AVE. N.,LARGO,FL
